Suburb,Year,pop_est,incidents_recorded,Number of Records,incidents_per_1000_people
ABBOTSFORD,2011,4907,706,37,143.8760954
ABBOTSFORD,2012,5562,716,44,128.7306724
ABBOTSFORD,2013,6217,670,41,107.7690204
ABBOTSFORD,2014,6873,865,49,125.8547941
ABBOTSFORD,2015,7528,972,43,129.1179596
ABBOTSFORD,2016,8184,1053,46,128.6656891
ABBOTSFORD,2017,8840,1090,49,123.3031674
ABBOTSFORD,2018,9496,1197,48,126.053075
ABBOTSFORD,2019,10152,1256,49,123.7194641
ABBOTSFORD,2020,10808,1286,51,118.9859363
ABERFELDIE,2011,3621,99,17,27.34051367
ABERFELDIE,2012,3676,120,22,32.64417845
ABERFELDIE,2013,3731,96,24,25.73036719
ABERFELDIE,2014,3786,146,22,38.56312731
ABERFELDIE,2015,3841,99,26,25.77453788
ABERFELDIE,2016,3897,137,24,35.15524763
ABERFELDIE,2017,3953,124,28,31.36858082
ABERFELDIE,2018,4009,113,24,28.18658019
ABERFELDIE,2019,4065,109,24,26.81426814
ABERFELDIE,2020,4121,120,23,29.11914584
ACHERON,2012,171,3,3,17.54385965
ACHERON,2013,171,5,3,29.23976608
ACHERON,2014,171,1,1,5.847953216
ACHERON,2015,171,2,2,11.69590643
ACHERON,2016,171,1,1,5.847953216
ACHERON,2017,171,3,3,17.54385965
ACHERON,2018,171,7,7,40.93567251
ACHERON,2019,171,4,4,23.39181287
ACHERON,2020,171,6,5,35.0877193
AIREYS INLET,2011,713,19,9,26.64796634
AIREYS INLET,2012,730,44,11,60.2739726
AIREYS INLET,2013,748,24,11,32.0855615
AIREYS INLET,2014,766,31,13,40.46997389
AIREYS INLET,2015,784,35,12,44.64285714
AIREYS INLET,2016,802,26,16,32.41895262
AIREYS INLET,2017,820,32,9,39.02439024
AIREYS INLET,2018,838,19,11,22.67303103
AIREYS INLET,2019,856,16,11,18.69158879
AIREYS INLET,2020,874,30,13,34.32494279
AIRPORT WEST,2011,6959,617,38,88.6621641
AIRPORT WEST,2012,7080,669,44,94.49152542
AIRPORT WEST,2013,7201,687,44,95.40341619
AIRPORT WEST,2014,7322,658,44,89.86615679
AIRPORT WEST,2015,7443,700,43,94.04809888
AIRPORT WEST,2016,7564,737,48,97.43521946
AIRPORT WEST,2017,7685,707,43,91.99739753
AIRPORT WEST,2018,7806,812,44,104.0225468
AIRPORT WEST,2019,7927,770,44,97.13636937
AIRPORT WEST,2020,8048,694,47,86.23260437
ALBANVALE,2011,5221,297,30,56.88565409
ALBANVALE,2012,5275,264,33,50.04739336
ALBANVALE,2013,5329,302,33,56.67104522
ALBANVALE,2014,5383,321,35,59.63217537
ALBANVALE,2015,5437,292,39,53.70608792
ALBANVALE,2016,5491,336,42,61.19103988
ALBANVALE,2017,5545,233,38,42.01983769
ALBANVALE,2018,5599,302,41,53.93820325
ALBANVALE,2019,5653,291,34,51.47709181
ALBANVALE,2020,5707,342,37,59.92640617
ALBERT PARK,2011,5955,364,35,61.12510495
ALBERT PARK,2012,6007,459,35,76.410854
ALBERT PARK,2013,6059,417,37,68.82323816
ALBERT PARK,2014,6111,380,35,62.18294878
ALBERT PARK,2015,6163,457,35,74.1521986
ALBERT PARK,2016,6215,572,39,92.03539823
ALBERT PARK,2017,6267,501,34,79.94255625
ALBERT PARK,2018,6319,564,36,89.2546289
ALBERT PARK,2019,6371,514,41,80.67807252
ALBERT PARK,2020,6423,530,38,82.51595827
ALBERTON,2011,260,3,3,11.53846154
ALBERTON,2012,260,14,7,53.84615385
ALBERTON,2013,260,9,6,34.61538462
ALBERTON,2014,261,4,3,15.3256705
ALBERTON,2015,261,7,6,26.81992337
ALBERTON,2016,262,8,8,30.53435115
ALBERTON,2017,263,7,6,26.61596958
ALBERTON,2018,264,11,8,41.66666667
ALBERTON,2019,265,10,7,37.73584906
ALBERTON,2020,266,13,12,48.87218045
ALBION,2011,4337,521,36,120.1291215
ALBION,2012,4415,455,42,103.0577576
ALBION,2013,4494,406,38,90.34267913
ALBION,2014,4573,372,43,81.34703696
ALBION,2015,4652,431,39,92.6483233
ALBION,2016,4731,389,38,82.22363137
ALBION,2017,4810,390,36,81.08108108
ALBION,2018,4889,454,39,92.86152587
ALBION,2019,4968,425,41,85.54750403
ALBION,2020,5047,360,40,71.32950267
ALEXANDRA,2011,2656,105,21,39.53313253
ALEXANDRA,2012,2663,104,29,39.05369884
ALEXANDRA,2013,2671,87,25,32.57207039
ALEXANDRA,2014,2679,138,34,51.51175812
ALEXANDRA,2015,2687,107,29,39.82136211
ALEXANDRA,2016,2695,86,31,31.9109462
ALEXANDRA,2017,2703,113,34,41.80540141
ALEXANDRA,2018,2711,120,30,44.26410918
ALEXANDRA,2019,2719,102,30,37.51379184
ALEXANDRA,2020,2727,120,34,44.00440044
ALFREDTON,2011,7195,225,23,31.27171647
ALFREDTON,2012,7600,267,30,35.13157895
ALFREDTON,2013,8005,288,31,35.97751405
ALFREDTON,2014,8410,248,31,29.48870392
ALFREDTON,2015,8815,325,34,36.86897334
ALFREDTON,2016,9220,454,36,49.24078091
ALFREDTON,2017,9625,391,37,40.62337662
ALFREDTON,2018,10030,352,36,35.09471585
ALFREDTON,2019,10435,355,36,34.02012458
ALFREDTON,2020,10840,288,42,26.56826568
ALLANSFORD,2011,1413,29,17,20.52370842
ALLANSFORD,2012,1434,21,16,14.64435146
ALLANSFORD,2013,1456,33,21,22.66483516
ALLANSFORD,2014,1477,27,15,18.2802979
ALLANSFORD,2015,1499,26,15,17.3448966
ALLANSFORD,2016,1521,21,15,13.80670611
ALLANSFORD,2017,1543,23,16,14.90602722
ALLANSFORD,2018,1565,33,22,21.08626198
ALLANSFORD,2019,1587,46,24,28.98550725
ALLANSFORD,2020,1609,45,29,27.96768179
